season,event_code,league,zone_name,group_name,group_order,college_name,team_name,rank,w_d_l,points,opponent_points,avg_base_hp_diff,avg_outpost_hp_diff,avg_team_damage
2024,2024RMUC,RMUC,东部赛区,A组,1,浙江大学,Hello World,,3/0/0,3,3,2095,0,5416
2024,2024RMUC,RMUC,东部赛区,A组,2,太原理工大学,TRoMaC,,3/0/0,3,-2,856,59,4159
2024,2024RMUC,RMUC,东部赛区,A组,3,首都师范大学,PIE,,2/0/1,2,7,375,-20,3941
2024,2024RMUC,RMUC,东部赛区,A组,4,南京航空航天大学金城学院,Born of Fire,,2/0/1,2,5,160,204,4041
2024,2024RMUC,RMUC,东部赛区,A组,5,天津大学,北洋机甲,,2/0/1,2,2,1236,149,5070
2024,2024RMUC,RMUC,东部赛区,A组,6,上海工程技术大学,木鸢Birdiebot,,2/0/1,2,-1,544,213,4770
2024,2024RMUC,RMUC,东部赛区,A组,7,齐鲁工业大学,Adam,,2/0/1,2,-4,-557,-179,2983
2024,2024RMUC,RMUC,东部赛区,A组,9,同济大学,SuperPower,,1/0/2,1,3,-907,83,2960
2024,2024RMUC,RMUC,东部赛区,A组,11,山东理工大学,齐奇,,1/0/2,1,0,-397,355,3178
2024,2024RMUC,RMUC,东部赛区,A组,13,华北理工大学,Horizon,,0/0/2,0,8,-1046,-89,2497
2024,2024RMUC,RMUC,东部赛区,A组,14,东北大学秦皇岛分校,征龙凌沧,,0/0/2,0,2,-801,-517,2076
2024,2024RMUC,RMUC,东部赛区,A组,15,中国石油大学（北京）,SPR,,0/0/2,0,0,-847,0,2621
2024,2024RMUC,RMUC,东部赛区,B组,1,哈尔滨工业大学（威海）,HERO,,3/0/0,3,3,1703,187,6065
2024,2024RMUC,RMUC,东部赛区,B组,2,广东工业大学,DynamicX,,3/0/0,3,-3,1504,375,6347
2024,2024RMUC,RMUC,东部赛区,B组,3,吉林大学,TARS_Go,,2/0/1,2,4,2132,44,6488
2024,2024RMUC,RMUC,东部赛区,B组,4,东南大学,3SE,,2/0/1,2,3,1210,0,4998
2024,2024RMUC,RMUC,东部赛区,B组,5,上海交通大学,交龙,,2/0/1,2,3,820,132,6237
2024,2024RMUC,RMUC,东部赛区,B组,6,中国科学技术大学,RoboWalker,,2/0/1,2,1,-166,151,4425
2024,2024RMUC,RMUC,东部赛区,B组,7,杭州电子科技大学,PHOENIX,,2/0/1,2,-2,-887,0,4130
2024,2024RMUC,RMUC,东部赛区,B组,8,华东理工大学,起源,,2/0/1,2,-3,356,0,4244
2024,2024RMUC,RMUC,东部赛区,B组,9,中国矿业大学,CUBOT,,1/0/2,1,5,-1505,4,3915
2024,2024RMUC,RMUC,东部赛区,B组,11,西北工业大学,WMJ,,1/0/2,1,-1,-630,-38,3721
2024,2024RMUC,RMUC,东部赛区,B组,12,中北大学,606,,1/0/2,1,-3,-309,108,3560
2024,2024RMUC,RMUC,东部赛区,B组,15,沈阳理工大学,Ambition,,0/0/2,0,1,-1750,-265,1873
2024,2024RMUC,RMUC,东部赛区,B组,16,常州大学,Climber,,0/0/2,0,-1,-540,0,2830
2024,2024RMUC,RMUC,中部赛区,A组,1,南昌大学,Passion,,3/0/0,3,-2,967,0,6135
2024,2024RMUC,RMUC,中部赛区,A组,2,南方科技大学,ARTINX,,3/0/0,3,-3,698,321,3967
2024,2024RMUC,RMUC,中部赛区,A组,3,北京理工大学,追梦,,2/0/1,2,8,1207,-182,5319
2024,2024RMUC,RMUC,中部赛区,A组,4,桂林信息科技学院,GIRT,,2/0/1,2,2,1111,273,5174
2024,2024RMUC,RMUC,中部赛区,A组,5,华中科技大学,狼牙,,2/0/1,2,0,-450,-25,4469
2024,2024RMUC,RMUC,中部赛区,A组,6,哈尔滨工程大学,创梦之翼,,2/0/1,2,-3,-417,41,3750
2024,2024RMUC,RMUC,中部赛区,A组,8,太原工业学院,火线,,2/0/1,2,-7,609,242,4306
2024,2024RMUC,RMUC,中部赛区,A组,9,合肥工业大学,苍穹,,1/0/2,1,8,-733,95,4023
2024,2024RMUC,RMUC,中部赛区,A组,10,山东科技大学,SmartRobot,,1/0/2,1,6,-160,-107,4439
2024,2024RMUC,RMUC,中部赛区,A组,11,青岛大学,未来,,1/0/2,1,-1,-765,121,2319
2024,2024RMUC,RMUC,中部赛区,A组,13,河北科技大学,Actor&Thinker,,0/0/2,0,7,-900,-299,1854
2024,2024RMUC,RMUC,中部赛区,A组,15,长安大学,VGD,,0/0/2,0,3,-1220,-443,1576
2024,2024RMUC,RMUC,中部赛区,B组,1,西安电子科技大学,IRobot,,3/0/0,3,3,1823,0,5570
2024,2024RMUC,RMUC,中部赛区,B组,2,华南理工大学,华南虎,,3/0/0,3,0,1917,39,5499
2024,2024RMUC,RMUC,中部赛区,B组,3,哈尔滨工业大学,I Hiter,,2/0/1,2,6,542,201,5982
2024,2024RMUC,RMUC,中部赛区,B组,4,华北科技学院,风暴,,2/0/1,2,5,54,335,4304
2024,2024RMUC,RMUC,中部赛区,B组,5,南京理工大学,Alliance,,2/0/1,2,0,-211,147,2583
2024,2024RMUC,RMUC,中部赛区,B组,6,太原科技大学,NewMaker,,2/0/1,2,-1,-244,90,4290
2024,2024RMUC,RMUC,中部赛区,B组,7,东莞理工学院,ACE,,2/0/1,2,-4,-116,26,3956
2024,2024RMUC,RMUC,中部赛区,B组,8,中国石油大学（华东）,RPS,,2/0/1,2,-5,768,91,4993
2024,2024RMUC,RMUC,中部赛区,B组,9,武汉工程大学,Nautilus,,1/0/2,1,4,74,93,4016
2024,2024RMUC,RMUC,中部赛区,B组,10,厦门大学嘉庚学院,TCR,,1/0/2,1,1,-1101,-13,1899
2024,2024RMUC,RMUC,中部赛区,B组,13,四川大学,火锅,,0/0/2,0,8,-2512,0,2812
2024,2024RMUC,RMUC,中部赛区,B组,14,成都大学,Ultra,,0/0/2,0,1,-1107,-296,1893
2024,2024RMUC,RMUC,中部赛区,B组,15,福建理工大学,苍侠,,0/0/2,0,0,-1029,-63,2524
2024,2024RMUC,RMUC,中部赛区,B组,16,内蒙古科技大学,雷霆,,0/0/2,0,-1,-82,-356,1865
2024,2024RMUC,RMUC,中部赛区,邀请赛-C组,3,武汉科技大学,崇实,,1/0/1,1,0,-250,-148,1511
2024,2024RMUC,RMUC,南部赛区,A组,1,深圳大学,RobotPilots,,3/0/0,3,5,2822,50,6789
2024,2024RMUC,RMUC,南部赛区,A组,2,西安交通大学,笃行,,3/0/0,3,-6,4053,455,7919
2024,2024RMUC,RMUC,南部赛区,A组,3,五邑大学,IMCA,,2/0/1,2,6,-195,-43,4596
2024,2024RMUC,RMUC,南部赛区,A组,5,中南大学,FYT,,2/0/1,2,0,1906,303,5792
2024,2024RMUC,RMUC,南部赛区,A组,6,桂林电子科技大学,Evolution,,2/0/1,2,-1,524,236,5300
2024,2024RMUC,RMUC,南部赛区,A组,7,华南农业大学,Taurus,,2/0/1,2,-4,1968,0,6236
2024,2024RMUC,RMUC,南部赛区,A组,11,西南交通大学,Helios,,1/0/2,1,0,-1109,11,4434
2024,2024RMUC,RMUC,南部赛区,A组,12,南华大学,MA,,1/0/2,1,-4,-613,163,2568
2024,2024RMUC,RMUC,南部赛区,A组,15,桂林理工大学,群星,,0/0/2,0,0,279,0,3573
2024,2024RMUC,RMUC,南部赛区,B组,1,哈尔滨工业大学（深圳）,南工骁鹰,,3/0/0,3,2,1912,0,6005
2024,2024RMUC,RMUC,南部赛区,B组,2,电子科技大学中山学院,RoboBraver,,3/0/0,3,0,3479,254,7638
2024,2024RMUC,RMUC,南部赛区,B组,3,国防科技大学,军临,,2/0/1,2,6,-365,433,4071
2024,2024RMUC,RMUC,南部赛区,B组,4,大连理工大学,凌BUG,,2/0/1,2,3,1353,214,5701
2024,2024RMUC,RMUC,南部赛区,B组,5,东北大学,TDT,,2/0/1,2,0,2139,432,6379
2024,2024RMUC,RMUC,南部赛区,B组,7,广州城市理工学院,野狼,,2/0/1,2,-2,81,-153,3448
2024,2024RMUC,RMUC,南部赛区,B组,9,华南师范大学,PIONEER,,1/0/2,1,5,-2609,-150,2852
2024,2024RMUC,RMUC,南部赛区,B组,10,厦门大学,RCS,,1/0/2,1,3,-1672,-34,2369
2024,2024RMUC,RMUC,南部赛区,B组,11,北京信息科技大学,星辰,,1/0/2,1,1,-1091,-188,2112
2024,2024RMUC,RMUC,南部赛区,B组,12,厦门理工学院,PFA,,1/0/2,1,-5,-330,177,2810
2024,2024RMUC,RMUC,南部赛区,B组,13,深圳技术大学,悍匠,,0/0/2,0,5,-852,-55,3041
2024,2024RMUC,RMUC,南部赛区,B组,14,福建师范大学,Pikachu,,0/0/2,0,0,-1100,-409,2187
2024,2024RMUC,RMUC,南部赛区,B组,15,湘潭大学,逐曦,,0/0/2,0,0,-1164,-750,1634
2024,2024RMUC,RMUC,南部赛区,B组,16,安徽信息工程学院,Artisans,,0/0/2,0,-1,-2007,-614,1882
2024,2024RMUC,RMUC,南部赛区,邀请赛-C组,1,仲恺农业工程学院,奇点,,2/0/0,2,-2,1060,696,3513
2024,2024RMUC,RMUC,港澳台及海外赛区&复活赛第一赛段,Q组,1,香港科技大学,ENTERPRIZE,1,2/0/0,6,,3050,1149,6685
2024,2024RMUC,RMUC,港澳台及海外赛区&复活赛第一赛段,W组,1,香港大学,HerKules,1,2/0/0,6,,233,598,2902
2024,2024RMUC,RMUC,港澳台及海外赛区&复活赛第一赛段,A组,1,中国石油大学（华东）,RPS,,3/0/0,3,3,3321,186,9097
2024,2024RMUC,RMUC,港澳台及海外赛区&复活赛第一赛段,A组,2,天津大学,北洋机甲,,2/0/1,2,4,78,0,5875
2024,2024RMUC,RMUC,港澳台及海外赛区&复活赛第一赛段,A组,4,华北科技学院,风暴,,2/0/1,2,-4,51,16,5544
2024,2024RMUC,RMUC,港澳台及海外赛区&复活赛第一赛段,A组,5,南京航空航天大学金城学院,Born of Fire,,1/0/2,1,4,-1625,-183,5683
2024,2024RMUC,RMUC,港澳台及海外赛区&复活赛第一赛段,A组,6,哈尔滨工程大学,创梦之翼,,1/0/2,1,1,-496,6,6223
2024,2024RMUC,RMUC,港澳台及海外赛区&复活赛第一赛段,A组,8,广州城市理工学院,野狼,,0/0/2,0,-1,-1300,-29,3828
2024,2024RMUC,RMUC,港澳台及海外赛区&复活赛第一赛段,B组,1,齐鲁工业大学,Adam,,3/0/0,3,0,255,-79,4990
2024,2024RMUC,RMUC,港澳台及海外赛区&复活赛第一赛段,B组,3,上海工程技术大学,木鸢Birdiebot,,2/0/1,2,3,507,0,5968
2024,2024RMUC,RMUC,港澳台及海外赛区&复活赛第一赛段,B组,4,中国科学技术大学,RoboWalker,,2/0/1,2,-3,460,0,5645
2024,2024RMUC,RMUC,港澳台及海外赛区&复活赛第一赛段,B组,5,大连理工大学,凌BUG,,1/0/2,1,-2,-30,3,5395
2024,2024RMUC,RMUC,港澳台及海外赛区&复活赛第一赛段,B组,6,南京理工大学,Alliance,,1/0/2,1,-2,-1147,0,4661
2024,2024RMUC,RMUC,港澳台及海外赛区&复活赛第一赛段,B组,7,国防科技大学,军临,,0/0/2,0,6,28,93,5258
2024,2024RMUC,RMUC,港澳台及海外赛区&复活赛第一赛段,B组,8,东莞理工学院,ACE,,0/0/2,0,-2,-1085,0,4241
2024,2024RMUC,RMUC,复活赛第二赛段,C组,1,上海工程技术大学,木鸢Birdiebot,,3/0/0,3,-3,2516,0,9076
2024,2024RMUC,RMUC,复活赛第二赛段,C组,3,华北科技学院,风暴,,2/0/1,2,-3,2214,71,7153
2024,2024RMUC,RMUC,复活赛第二赛段,C组,4,香港科技大学,ENTERPRIZE,,2/0/1,2,-7,1430,0,7199
2024,2024RMUC,RMUC,复活赛第二赛段,C组,5,中国科学技术大学,RoboWalker,,1/0/2,1,9,-928,0,5792
2024,2024RMUC,RMUC,复活赛第二赛段,C组,7,天津大学,北洋机甲,,0/0/2,0,8,-3172,0,5243
2024,2024RMUC,RMUC,复活赛第二赛段,C组,8,香港大学,HerKules,,0/0/2,0,-1,-3835,-183,3038
2024,2024RMUC,RMUC,全国赛,A组,1,中国石油大学（华东）,RPS,,3/0/0,3,1,3316,0,8699
2024,2024RMUC,RMUC,全国赛,A组,2,西安交通大学,笃行,,3/0/0,3,-1,4161,135,9730
2024,2024RMUC,RMUC,全国赛,A组,3,浙江大学,Hello World,,3/0/1,3,7,437,0,7512
