season,event_code,league,zone_name,stage_bucket,group_name,match_id,match_type,order_number,plan_game_count,plan_started_at,match_date,result,red_team_id,red_team_name,red_college_name,red_side_score,red_side_win_game_count,blue_team_id,blue_team_name,blue_college_name,blue_side_score,blue_side_win_game_count,winner_team_id,winner_team_name,winner_college_name,winner_side
2024,2024RMUC,RMUC,东部赛区,group,A,18976,GROUP,1,3,2024-05-15T01:30:00Z,2024-05-15,RED,114,TRoMaC,太原理工大学,1,2,144,Horizon,华北理工大学,0,0,114,TRoMaC,太原理工大学,red
2024,2024RMUC,RMUC,东部赛区,group,A,18978,GROUP,3,3,2024-05-15T02:30:00Z,2024-05-15,RED,195,Hello World,浙江大学,1,2,141,SuperPower,同济大学,0,0,195,Hello World,浙江大学,red
2024,2024RMUC,RMUC,东部赛区,group,A,18979,GROUP,4,3,2024-05-15T03:00:00Z,2024-05-15,RED,755,Adam,齐鲁工业大学,1,2,746,SPR,中国石油大学（北京）,0,0,755,Adam,齐鲁工业大学,red
2024,2024RMUC,RMUC,东部赛区,group,A,18980,GROUP,5,3,2024-05-15T03:30:00Z,2024-05-15,RED,782,木鸢Birdiebot,上海工程技术大学,1,2,688,征龙凌沧,东北大学秦皇岛分校,0,0,782,木鸢Birdiebot,上海工程技术大学,red
2024,2024RMUC,RMUC,东部赛区,group,A,18992,GROUP,17,3,2024-05-15T12:00:00Z,2024-05-15,BLUE,739,齐奇,山东理工大学,0,1,165,北洋机甲,天津大学,1,2,165,北洋机甲,天津大学,blue
2024,2024RMUC,RMUC,东部赛区,group,A,18993,GROUP,18,3,2024-05-15T12:30:00Z,2024-05-15,RED,195,Hello World,浙江大学,1,2,782,木鸢Birdiebot,上海工程技术大学,0,1,195,Hello World,浙江大学,red
2024,2024RMUC,RMUC,东部赛区,group,A,18994,GROUP,19,3,2024-05-15T13:00:00Z,2024-05-15,BLUE,672,PIE,首都师范大学,0,0,114,TRoMaC,太原理工大学,1,2,114,TRoMaC,太原理工大学,blue
2024,2024RMUC,RMUC,东部赛区,group,A,18995,GROUP,20,3,2024-05-16T00:30:00Z,2024-05-16,BLUE,755,Adam,齐鲁工业大学,0,1,183,Born of Fire,南京航空航天大学金城学院,1,2,183,Born of Fire,南京航空航天大学金城学院,blue
2024,2024RMUC,RMUC,东部赛区,group,A,18998,GROUP,23,3,2024-05-16T02:00:00Z,2024-05-16,BLUE,688,征龙凌沧,东北大学秦皇岛分校,0,0,141,SuperPower,同济大学,1,2,141,SuperPower,同济大学,blue
2024,2024RMUC,RMUC,东部赛区,group,A,19008,GROUP,33,3,2024-05-16T08:30:00Z,2024-05-16,BLUE,183,Born of Fire,南京航空航天大学金城学院,0,0,195,Hello World,浙江大学,1,2,195,Hello World,浙江大学,blue
2024,2024RMUC,RMUC,东部赛区,group,A,19009,GROUP,34,3,2024-05-16T09:30:00Z,2024-05-16,RED,114,TRoMaC,太原理工大学,1,2,165,北洋机甲,天津大学,0,0,114,TRoMaC,太原理工大学,red
2024,2024RMUC,RMUC,东部赛区,group,A,19010,GROUP,35,3,2024-05-16T10:00:00Z,2024-05-16,BLUE,739,齐奇,山东理工大学,0,1,672,PIE,首都师范大学,1,2,672,PIE,首都师范大学,blue
2024,2024RMUC,RMUC,东部赛区,group,A,19012,GROUP,37,3,2024-05-16T12:00:00Z,2024-05-16,BLUE,141,SuperPower,同济大学,0,1,755,Adam,齐鲁工业大学,1,2,755,Adam,齐鲁工业大学,blue
2024,2024RMUC,RMUC,东部赛区,group,B,18985,GROUP,10,3,2024-05-15T07:30:00Z,2024-05-15,BLUE,116,WMJ,西北工业大学,0,0,666,TARS_Go,吉林大学,1,2,666,TARS_Go,吉林大学,blue
2024,2024RMUC,RMUC,东部赛区,group,B,18987,GROUP,12,3,2024-05-15T08:30:00Z,2024-05-15,RED,245,3SE,东南大学,1,2,2780,起源,华东理工大学,0,0,245,3SE,东南大学,red
2024,2024RMUC,RMUC,东部赛区,group,B,18988,GROUP,13,3,2024-05-15T09:00:00Z,2024-05-15,RED,738,HERO,哈尔滨工业大学（威海）,1,2,682,RoboWalker,中国科学技术大学,0,0,738,HERO,哈尔滨工业大学（威海）,red
2024,2024RMUC,RMUC,东部赛区,group,B,18990,GROUP,15,3,2024-05-15T10:00:00Z,2024-05-15,RED,28,CUBOT,中国矿业大学,1,2,679,606,中北大学,0,0,28,CUBOT,中国矿业大学,red
2024,2024RMUC,RMUC,东部赛区,group,B,18991,GROUP,16,3,2024-05-15T10:30:00Z,2024-05-15,BLUE,676,Climber,常州大学,0,1,786,PHOENIX,杭州电子科技大学,1,2,786,PHOENIX,杭州电子科技大学,blue
2024,2024RMUC,RMUC,东部赛区,group,B,19001,GROUP,26,3,2024-05-16T03:30:00Z,2024-05-16,RED,453,DynamicX,广东工业大学,1,2,28,CUBOT,中国矿业大学,0,1,453,DynamicX,广东工业大学,red
2024,2024RMUC,RMUC,东部赛区,group,B,19002,GROUP,27,3,2024-05-16T05:30:00Z,2024-05-16,BLUE,786,PHOENIX,杭州电子科技大学,0,0,666,TARS_Go,吉林大学,1,2,666,TARS_Go,吉林大学,blue
2024,2024RMUC,RMUC,东部赛区,group,B,19003,GROUP,28,3,2024-05-16T06:00:00Z,2024-05-16,RED,148,交龙,上海交通大学,1,2,245,3SE,东南大学,0,1,148,交龙,上海交通大学,red
2024,2024RMUC,RMUC,东部赛区,group,B,19005,GROUP,30,3,2024-05-16T07:00:00Z,2024-05-16,BLUE,50,Ambition,沈阳理工大学,0,0,682,RoboWalker,中国科学技术大学,1,2,682,RoboWalker,中国科学技术大学,blue
2024,2024RMUC,RMUC,东部赛区,group,B,19007,GROUP,32,3,2024-05-16T08:00:00Z,2024-05-16,RED,116,WMJ,西北工业大学,1,2,676,Climber,常州大学,0,0,116,WMJ,西北工业大学,red
2024,2024RMUC,RMUC,东部赛区,group,B,19014,GROUP,39,3,2024-05-16T13:00:00Z,2024-05-16,BLUE,666,TARS_Go,吉林大学,0,0,738,HERO,哈尔滨工业大学（威海）,1,2,738,HERO,哈尔滨工业大学（威海）,blue
2024,2024RMUC,RMUC,东部赛区,group,B,19015,GROUP,40,3,2024-05-16T13:30:00Z,2024-05-16,RED,453,DynamicX,广东工业大学,1,2,148,交龙,上海交通大学,0,1,453,DynamicX,广东工业大学,red
2024,2024RMUC,RMUC,东部赛区,group,B,19016,GROUP,41,3,2024-05-17T00:30:00Z,2024-05-17,BLUE,28,CUBOT,中国矿业大学,0,0,245,3SE,东南大学,1,2,245,3SE,东南大学,blue
2024,2024RMUC,RMUC,东部赛区,group,B,19017,GROUP,42,3,2024-05-17T01:00:00Z,2024-05-17,BLUE,116,WMJ,西北工业大学,0,1,786,PHOENIX,杭州电子科技大学,1,2,786,PHOENIX,杭州电子科技大学,blue
2024,2024RMUC,RMUC,东部赛区,group,B,19019,GROUP,44,3,2024-05-17T02:00:00Z,2024-05-17,RED,2780,起源,华东理工大学,1,2,679,606,中北大学,0,0,2780,起源,华东理工大学,red
2024,2024RMUC,RMUC,东部赛区,knockout,,19418,KNOCKOUT,46,3,2024-05-17T03:00:00Z,2024-05-17,BLUE,755,Adam,齐鲁工业大学,0,0,453,DynamicX,广东工业大学,0,2,453,DynamicX,广东工业大学,blue
2024,2024RMUC,RMUC,东部赛区,knockout,,19419,KNOCKOUT,47,3,2024-05-17T05:20:00Z,2024-05-17,BLUE,183,Born of Fire,南京航空航天大学金城学院,0,0,148,交龙,上海交通大学,0,2,148,交龙,上海交通大学,blue
2024,2024RMUC,RMUC,东部赛区,knockout,,19420,KNOCKOUT,48,3,2024-05-17T05:50:00Z,2024-05-17,BLUE,682,RoboWalker,中国科学技术大学,0,1,672,PIE,首都师范大学,0,2,672,PIE,首都师范大学,blue
2024,2024RMUC,RMUC,东部赛区,knockout,,19421,KNOCKOUT,49,3,2024-05-17T06:20:00Z,2024-05-17,RED,114,TRoMaC,太原理工大学,0,2,786,PHOENIX,杭州电子科技大学,0,1,114,TRoMaC,太原理工大学,red
2024,2024RMUC,RMUC,东部赛区,knockout,,19422,KNOCKOUT,50,3,2024-05-17T06:50:00Z,2024-05-17,RED,666,TARS_Go,吉林大学,0,2,782,木鸢Birdiebot,上海工程技术大学,0,1,666,TARS_Go,吉林大学,red
2024,2024RMUC,RMUC,东部赛区,knockout,,19423,KNOCKOUT,51,3,2024-05-17T07:20:00Z,2024-05-17,BLUE,2780,起源,华东理工大学,0,0,195,Hello World,浙江大学,0,2,195,Hello World,浙江大学,blue
2024,2024RMUC,RMUC,东部赛区,knockout,,19424,KNOCKOUT,52,3,2024-05-17T07:50:00Z,2024-05-17,BLUE,165,北洋机甲,天津大学,0,0,245,3SE,东南大学,0,2,245,3SE,东南大学,blue
2024,2024RMUC,RMUC,东部赛区,knockout,,19425,KNOCKOUT,53,3,2024-05-17T08:30:00Z,2024-05-17,RED,148,交龙,上海交通大学,0,2,738,HERO,哈尔滨工业大学（威海）,0,0,148,交龙,上海交通大学,red
2024,2024RMUC,RMUC,东部赛区,knockout,,19426,KNOCKOUT,54,3,2024-05-17T09:00:00Z,2024-05-17,RED,453,DynamicX,广东工业大学,0,2,672,PIE,首都师范大学,0,0,453,DynamicX,广东工业大学,red
2024,2024RMUC,RMUC,东部赛区,knockout,,19428,KNOCKOUT,56,3,2024-05-17T10:00:00Z,2024-05-17,RED,682,RoboWalker,中国科学技术大学,0,2,755,Adam,齐鲁工业大学,0,0,682,RoboWalker,中国科学技术大学,red
2024,2024RMUC,RMUC,东部赛区,knockout,,19429,KNOCKOUT,57,3,2024-05-17T11:30:00Z,2024-05-17,BLUE,666,TARS_Go,吉林大学,0,0,114,TRoMaC,太原理工大学,0,2,114,TRoMaC,太原理工大学,blue
