season,event_code,league,zone_name,group_name,group_order,college_name,team_name,w_d_l,wins,opponent_points,avg_base_hp_diff,avg_outpost_hp_diff,avg_team_damage
2026,2026RMUC,RMUC,南部赛区,A组,1,武汉科技大学,崇实,2/0/0,2,1,0,0,0
2026,2026RMUC,RMUC,南部赛区,A组,2,太原理工大学,TRoMaC,2/0/0,2,1,0,0,0
2026,2026RMUC,RMUC,南部赛区,A组,3,南华大学,MA,2/0/0,2,1,0,0,0
2026,2026RMUC,RMUC,南部赛区,A组,4,华中科技大学,狼牙,2/0/0,2,1,0,0,0
2026,2026RMUC,RMUC,南部赛区,A组,5,深圳大学,RobotPilots,1/0/1,1,3,0,0,0
2026,2026RMUC,RMUC,南部赛区,A组,6,中南大学,FYT,1/0/1,1,3,0,0,0
2026,2026RMUC,RMUC,南部赛区,A组,7,仲恺农业工程学院,奇点,1/0/1,1,3,0,0,0
2026,2026RMUC,RMUC,南部赛区,A组,8,上海交通大学,交龙,1/0/1,1,1,0,0,0
2026,2026RMUC,RMUC,南部赛区,A组,9,厦门大学嘉庚学院,TCR,1/0/1,1,1,0,0,0
2026,2026RMUC,RMUC,南部赛区,A组,10,桂林理工大学,群星,1/0/1,1,1,0,0,0
2026,2026RMUC,RMUC,南部赛区,A组,11,长沙理工大学,云嵌,1/0/1,1,3,0,0,0
2026,2026RMUC,RMUC,南部赛区,A组,12,广州城市理工学院,野狼,1/0/1,1,1,0,0,0
2026,2026RMUC,RMUC,南部赛区,A组,13,广东工业大学,DynamicX,0/0/2,0,3,0,0,0
2026,2026RMUC,RMUC,南部赛区,A组,14,武汉工程大学,Nautilus,0/0/2,0,3,0,0,0
2026,2026RMUC,RMUC,南部赛区,A组,15,西交利物浦大学,GMaster,0/0/2,0,3,0,0,0
2026,2026RMUC,RMUC,南部赛区,A组,16,华南师范大学（佛山校区）,VANGUARD,0/0/2,0,3,0,0,0
2026,2026RMUC,RMUC,南部赛区,B组,1,湘潭大学,逐曦,2/0/0,2,2,0,0,0
2026,2026RMUC,RMUC,南部赛区,B组,2,国防科技大学,军临,2/0/0,2,1,0,0,0
2026,2026RMUC,RMUC,南部赛区,B组,3,东莞理工学院,ACE,2/0/0,2,1,0,0,0
2026,2026RMUC,RMUC,南部赛区,B组,4,厦门大学,RCS,2/0/0,2,1,0,0,0
2026,2026RMUC,RMUC,南部赛区,B组,5,南昌大学,Passion,1/0/1,1,2,0,0,0
2026,2026RMUC,RMUC,南部赛区,B组,6,华南农业大学,Taurus,1/0/1,1,1,0,0,0
2026,2026RMUC,RMUC,南部赛区,B组,7,武汉大学,珞珈狐,1/0/1,1,1,0,0,0
2026,2026RMUC,RMUC,南部赛区,B组,8,桂林电子科技大学,Evolution,1/0/1,1,3,0,0,0
2026,2026RMUC,RMUC,南部赛区,B组,9,深圳技术大学,悍匠,1/0/1,1,3,0,0,0
2026,2026RMUC,RMUC,南部赛区,B组,10,华南理工大学,华南虎,1/0/1,1,3,0,0,0
2026,2026RMUC,RMUC,南部赛区,B组,11,桂林信息科技学院,GIRT,1/0/1,1,2,0,0,0
2026,2026RMUC,RMUC,南部赛区,B组,12,电子科技大学中山学院,RoboBraver,1/0/1,1,1,0,0,0
2026,2026RMUC,RMUC,南部赛区,B组,13,重庆理工大学,士继DREAMER,0/0/2,0,3,0,0,0
2026,2026RMUC,RMUC,南部赛区,B组,14,广州航海学院,ICBK破冰船,0/0/2,0,3,0,0,0
2026,2026RMUC,RMUC,南部赛区,B组,15,厦门理工学院,PFA,0/0/2,0,3,0,0,0
2026,2026RMUC,RMUC,南部赛区,B组,16,五邑大学,IMCA,0/0/2,0,2,0,0,0
