season,event_code,league,zone_name,stage_bucket,group_name,match_id,match_type,order_number,plan_game_count,plan_started_at,match_date,result,red_team_id,red_team_name,red_college_name,red_side_score,red_side_win_game_count,blue_team_id,blue_team_name,blue_college_name,blue_side_score,blue_side_win_game_count,winner_team_id,winner_team_name,winner_college_name,winner_side
2026,2026RMUL,RMUL,安徽站,group,E,27892,GROUP,12,2,2026-03-21T02:30:00Z,2026-03-21,BLUE,1498,崇实,武汉科技大学,0,0,151,FYT,中南大学,3,2,151,FYT,中南大学,blue
2026,2026RMUL,RMUL,安徽站,knockout,,28563,KNOCKOUT,31,3,2026-03-22T00:10:00Z,2026-03-22,RED,683,WDR,合肥工业大学（宣城校区）,0,2,676,Climber,常州大学,0,0,683,WDR,合肥工业大学（宣城校区）,red
2026,2026RMUL,RMUL,安徽站,knockout,,28568,KNOCKOUT,36,3,2026-03-22T02:15:00Z,2026-03-22,BLUE,133,ENTERPRIZE,香港科技大学,0,0,682,RoboWalker,中国科学技术大学,0,2,682,RoboWalker,中国科学技术大学,blue
2026,2026RMUL,RMUL,安徽站,knockout,,28574,KNOCKOUT,42,3,2026-03-22T05:45:00Z,2026-03-22,BLUE,1498,崇实,武汉科技大学,0,0,53,狼牙,华中科技大学,0,2,53,狼牙,华中科技大学,blue
2026,2026RMUL,RMUL,安徽站,knockout,,28575,KNOCKOUT,43,3,2026-03-22T07:10:00Z,2026-03-22,RED,683,WDR,合肥工业大学（宣城校区）,0,2,151,FYT,中南大学,0,1,683,WDR,合肥工业大学（宣城校区）,red
2026,2026RMUL,RMUL,安徽站,knockout,,28576,KNOCKOUT,44,3,2026-03-22T07:35:00Z,2026-03-22,RED,682,RoboWalker,中国科学技术大学,0,2,53,狼牙,华中科技大学,0,0,682,RoboWalker,中国科学技术大学,red
2026,2026RMUL,RMUL,安徽站,knockout,,28577,KNOCKOUT,45,3,2026-03-22T09:00:00Z,2026-03-22,BLUE,151,FYT,中南大学,0,1,53,狼牙,华中科技大学,0,2,53,狼牙,华中科技大学,blue
2026,2026RMUL,RMUL,安徽站,knockout,,28578,KNOCKOUT,46,3,2026-03-22T09:25:00Z,2026-03-22,BLUE,683,WDR,合肥工业大学（宣城校区）,0,0,682,RoboWalker,中国科学技术大学,0,2,682,RoboWalker,中国科学技术大学,blue
2026,2026RMUL,RMUL,华南站,group,B,27273,GROUP,2,2,2026-03-20T07:20:00Z,2026-03-20,BLUE,179,华南虎,华南理工大学,0,0,1497,ICBK破冰船,广州航海学院,3,2,1497,ICBK破冰船,广州航海学院,blue
2026,2026RMUL,RMUL,华南站,group,B,27281,GROUP,10,2,2026-03-20T11:00:00Z,2026-03-20,RED,1497,ICBK破冰船,广州航海学院,3,2,1531,毅恒,北京理工大学（珠海）,0,0,1497,ICBK破冰船,广州航海学院,red
