team_key,school_key,college_name,team_name,shape_rank,preferred_region,admitted_region,seed_rank_in_region,seed_tier,ranking_source,ranking_global_rank,ranking_score,rank_score_2024_damped_component,rank_score_2025_damped_component,z_25game,robot_stage_count,robot_stage_reliability,z_robot25_raw_unshrunk,robot_raw_score,z_robot25_raw,z_26rmul_raw,z_26rmul,rmul_reliability,z_form,z_hist,tilde_z_hist,n_matches_2024_rmuc,n_matches_2025_rmuc,n_matches_2026_rmul,n_eff,n_eff_history,H,prior_score,prior_mu,long_term_mu,history_mu,history_weight,recent_form_mu,recent_form_mu_calibrated,recent_anchor_mu,recent_momentum,recent_level_gap,level_adjustment,momentum_adjustment,shape_adjustment,level_weight,momentum_weight,recent_weight,recent_reliability,recent_adjustment,peer_match_count,peer_consistency_adjustment,new_school_compensation,old_history_decay,recent_gap,level_gap,history_mu_start_2024,history_mu_end_2024,history_mu_start_2025,history_mu_end_2025,history_mu_start_2026_rmul,history_mu_end_2026_rmul,recent_form_mu_start_2025,recent_form_mu_end_2025,recent_form_mu_start_2026_rmul,recent_form_mu_end_2026_rmul,coverage_2025,effective_scale_2024,effective_rho_2024_to_2025,effective_rho_2025_to_2026,group_summary_2024_damped_component,evidence_mu,evidence_weight,disagreement_mu,rating_model_version,mu0,sigma0
西安交通大学::笃行,西安交通大学,西安交通大学,笃行,1,北部赛区,北部赛区,3,tier1,1884,10,18.8,0.808524,1.2,3.0,4,0.852803,0.535318,0.45652,1.055168,1.482207,0.768555,0.518521,2.484125,1.94777,3.0,11,15,7,20.2,20.2,1.94777,2.484125,1698.730018,1715.589629,1715.589629,0.87069,1719.9001,1719.9001,1609.39622,110.50388,4.310471,0.751117,42.931631,6.0,0.174254,0.388508,0.388508,0.856349,43.682748,16,0.717426,0.0,0.0,110.50388,4.310471,1518.393925,1557.765471,1577.487241,1603.595838,1703.390659,1715.589629,1566.012842,1609.39622,1689.917176,1719.9001,0.888523,22.75,0.2352,0.835212,0.88194,1715.589629,0.87069,132.391387,dynamic_school_elo_v4_balance_adjusted,1765.989802,57.734922
东莞理工学院::ACE,东莞理工学院,东莞理工学院,ACE,2,南部赛区,南部赛区,18,unseeded,1884,61,8.61,-0.159111,0.274445,0.500153,1,0.632456,0.046098,0.029155,-0.01652,3.0,1.510464,0.503488,2.122852,0.34189,3.0,8,5,6,9.1,9.1,0.34189,2.122852,1669.828181,1579.08046,1579.08046,0.752066,1609.856754,1609.856754,1501.005972,108.850782,30.776294,5.245371,41.458092,6.0,0.170435,0.380871,0.380871,0.760886,46.703464,10,3.438807,0.0,0.0,108.850782,30.776294,1496.380233,1474.271568,1506.257793,1501.443517,1521.524794,1579.08046,1507.837593,1501.005972,1517.133842,1609.856754,0.745356,22.75,0.2352,0.700635,-0.147581,1579.08046,0.752066,233.813604,dynamic_school_elo_v4_balance_adjusted,1635.22273,65.320213
华南农业大学::Taurus,华南农业大学,华南农业大学,Taurus,3,南部赛区,南部赛区,3,tier1,1884,5,20.1,0.938234,1.2,3.0,2,0.755929,0.736046,0.556399,1.305629,1.16514,0.586634,0.503488,1.922479,1.909154,3.0,12,16,6,21.1,21.1,1.909154,1.922479,1653.798358,1723.741759,1723.741759,0.875519,1719.476904,1719.476904,1620.562564,98.914339,-4.264855,-0.743168,38.429003,6.0,0.174254,0.388508,0.388508,0.856349,37.685835,20,1.208071,0.0,0.308017,98.914339,4.264855,1521.344822,1546.801017,1571.549385,1618.872129,1714.492347,1723.741759,1562.225184,1620.562564,1697.210377,1719.476904,0.894427,22.75,0.2352,0.840762,0.372998,1723.741759,0.875519,174.638685,dynamic_school_elo_v4_balance_adjusted,1768.327648,57.382054
五邑大学::IMCA,五邑大学,五邑大学,IMCA,4,南部赛区,南部赛区,7,tier1,1884,17,17.0,0.666708,1.2,3.0,2,0.755929,0.171095,0.129335,0.234699,0.871168,0.400406,0.459619,1.778482,1.495274,3.0,9,12,4,15.65,15.65,1.495274,1.778482,1642.278585,1647.386916,1647.386916,0.839142,1636.683986,1636.683986,1554.935398,81.748589,-10.70293,-1.847966,31.499344,6.0,0.17266,0.38532,0.38532,0.816497,29.651377,14,-0.859237,0.0,0.701162,81.748589,10.70293,1515.167611,1490.16961,1554.958238,1561.69986,1639.944086,1647.386916,1558.536279,1554.935398,1621.571787,1636.683986,0.866025,22.75,0.2352,0.814064,-0.122675,1647.386916,0.839142,99.12025,dynamic_school_elo_v4_balance_adjusted,1681.477895,57.886687
太原科技大学::NewMaker,太原科技大学,太原科技大学,NewMaker,5,东部赛区,东部赛区,24,unseeded,1884,75,8.0,0.637307,1.2,3.0,0,0.0,0.0,0.0,0.0,3.0,1.555562,0.518521,1.664043,0.254074,2.593306,9,0,7,4.7,4.7,0.254074,1.664043,1633.123416,1561.115696,1561.115696,0.61039,1583.636652,1583.636652,1558.220463,25.41619,22.520956,3.768324,9.522186,10.0,0.167325,0.37465,0.37465,0.68313,13.290509,1,3.118604,0.0,0.0,25.41619,22.520956,1514.498741,1502.453407,1557.567311,1557.567311,1515.244434,1561.115696,1558.220463,1558.220463,1507.745339,1583.636652,0.0,22.75,0.2352,0.0,-0.165111,1561.115696,0.61039,123.06347,dynamic_school_elo_v4_balance_adjusted,1587.52481,65.096365
华北科技学院::风暴,华北科技学院,华北科技学院,风暴,6,东部赛区,北部赛区,13,tier2,1884,44,11.28,0.474738,0.683556,2.176121,3,0.816497,0.285481,0.233094,0.49489,2.633438,1.365492,0.518521,1.567991,1.191249,3.0,14,11,7,16.95,16.95,1.191249,1.567991,1625.43932,1632.876572,1632.876572,0.849624,1639.712192,1639.712192,1524.624047,115.088146,6.835621,1.18449,44.488937,6.0,0.173282,0.386564,0.386564,0.83205,45.673427,11,-2.183488,0.0,0.0,115.088146,6.835621,1510.800283,1529.49306,1541.771547,1539.020087,1602.884849,1632.876572,1533.23773,1524.624047,1581.711997,1639.712192,0.856349,22.75,0.2352,0.804968,0.265251,1632.876572,0.849624,131.544506,dynamic_school_elo_v4_balance_adjusted,1682.366511,58.946023
哈尔滨工业大学（深圳）::南工骁鹰,哈尔滨工业大学（深圳）,哈尔滨工业大学（深圳）,南工骁鹰,7,东部赛区,东部赛区,10,tier2,1884,32,13.535,0.988388,1.2,3.0,3,0.816497,0.586127,0.47857,1.110462,-0.112085,-0.047695,0.425525,1.484553,1.798889,3.0,8,12,3,15.05,15.05,1.798889,1.484553,1618.764221,1655.217483,1655.217483,0.833795,1637.57622,1637.57622,1565.885944,71.690276,-17.641263,-3.039641,27.572498,6.0,0.172303,0.384606,0.384606,0.807573,24.532857,11,-1.059561,0.0,1.135507,71.690276,17.641263,1522.485836,1514.624339,1563.336655,1565.958169,1661.627508,1655.217483,1561.49813,1565.885944,1646.39324,1637.57622,0.866025,22.75,0.2352,0.814064,0.275305,1655.217483,0.833795,127.979869,dynamic_school_elo_v4_balance_adjusted,1683.555272,57.581856
东北大学::TDT,东北大学,东北大学,TDT,8,北部赛区,北部赛区,1,tier1,1884,3,22.7,1.05,1.2,3.0,2,0.755929,0.600875,0.454219,1.049397,2.690214,1.394932,0.518521,1.410332,2.019447,3.0,19,13,7,20.2,20.2,2.019447,1.410332,1612.826591,1780.151693,1780.151693,0.87069,1793.316005,1793.316005,1663.395382,129.920623,13.164311,2.288039,50.358837,6.0,0.173806,0.387612,0.387612,0.845154,52.646875,15,2.928812,0.0,0.0,129.920623,13.164311,1523.8875,1612.46085,1588.365787,1657.587105,1750.704368,1780.151693,1563.773627,1663.395382,1733.934052,1793.316005,0.874475,22.75,0.2352,0.822006,0.58106,1780.151693,0.87069,313.338849,dynamic_school_elo_v4_balance_adjusted,1841.727381,58.288287
西北工业大学::WMJ,西北工业大学,西北工业大学,WMJ,9,北部赛区,北部赛区,11,tier2,1884,36,12.5,0.405559,0.425692,3.0,2,0.755929,0.348338,0.263319,0.570685,1.252899,0.649654,0.518521,1.343158,1.37521,3.0,3,12,7,15.2,15.2,1.37521,1.343158,1607.45265,1636.967381,1636.967381,0.835165,1630.701539,1630.701539,1543.444612,87.256927,-6.265842,-1.087467,33.777997,6.0,0.173555,0.38711,0.38711,0.83887,32.69053,16,0.620793,0.0,0.391962,87.256927,6.265842,1509.226472,1505.283605,1520.796318,1554.357838,1626.763376,1636.967381,1516.006549,1543.444612,1606.299221,1630.701539,0.866025,22.75,0.2352,0.814064,-0.159075,1636.967381,0.835165,124.050255,dynamic_school_elo_v4_balance_adjusted,1675.886743,58.359066
中国石油大学（华东）::RPS,中国石油大学（华东）,中国石油大学（华东）,RPS,10,东部赛区,东部赛区,2,tier1,1884,11,18.72,0.668438,1.2,3.0,2,0.755929,1.236567,0.934757,2.254423,3.0,1.555562,0.518521,1.281552,2.285051,3.0,16,13,7,19.45,19.45,2.285051,1.281552,1602.524125,1773.820449,1773.820449,0.86637,1782.469807,1782.469807,1619.49291,150.0,8.649358,1.503312,58.141851,6.0,0.173806,0.387612,0.387612,0.845154,59.645163,17,1.383006,0.0,0.0,162.976897,8.649358,1515.206956,1594.829344,1585.220653,1623.60849,1738.70997,1773.820449,1564.903262,1619.49291,1714.562757,1782.469807,0.874475,22.75,0.2352,0.822006,0.732847,1773.820449,0.86637,344.305585,dynamic_school_elo_v4_balance_adjusted,1840.848618,58.222099
