team_key,school_key,college_name,team_name,shape_rank,preferred_region,admitted_region,seed_rank_in_region,seed_tier,ranking_source,ranking_global_rank,ranking_score
西安交通大学::笃行,西安交通大学,西安交通大学,笃行,1,北部赛区,北部赛区,3,tier1,1884,10,18.8
东莞理工学院::ACE,东莞理工学院,东莞理工学院,ACE,2,南部赛区,南部赛区,18,unseeded,1884,61,8.61
华南农业大学::Taurus,华南农业大学,华南农业大学,Taurus,3,南部赛区,南部赛区,3,tier1,1884,5,20.1
五邑大学::IMCA,五邑大学,五邑大学,IMCA,4,南部赛区,南部赛区,7,tier1,1884,17,17.0
太原科技大学::NewMaker,太原科技大学,太原科技大学,NewMaker,5,东部赛区,东部赛区,24,unseeded,1884,75,8.0
华北科技学院::风暴,华北科技学院,华北科技学院,风暴,6,东部赛区,北部赛区,13,tier2,1884,44,11.28
哈尔滨工业大学（深圳）::南工骁鹰,哈尔滨工业大学（深圳）,哈尔滨工业大学（深圳）,南工骁鹰,7,东部赛区,东部赛区,10,tier2,1884,32,13.535
东北大学::TDT,东北大学,东北大学,TDT,8,北部赛区,北部赛区,1,tier1,1884,3,22.7
西北工业大学::WMJ,西北工业大学,西北工业大学,WMJ,9,北部赛区,北部赛区,11,tier2,1884,36,12.5
中国石油大学（华东）::RPS,中国石油大学（华东）,中国石油大学（华东）,RPS,10,东部赛区,东部赛区,2,tier1,1884,11,18.72
北京理工大学::追梦,北京理工大学,北京理工大学,追梦,11,北部赛区,北部赛区,12,tier2,1884,43,11.3
华南理工大学::华南虎,华南理工大学,华南理工大学,华南虎,12,南部赛区,南部赛区,2,tier1,1884,2,23.3
太原工业学院::火线,太原工业学院,太原工业学院,火线,13,北部赛区,北部赛区,6,tier1,1884,17,17.0
武汉工程大学::Nautilus,武汉工程大学,武汉工程大学,Nautilus,14,东部赛区,南部赛区,12,tier2,1884,29,14.3
仲恺农业工程学院::奇点,仲恺农业工程学院,仲恺农业工程学院,奇点,15,南部赛区,南部赛区,24,unseeded,1884,100,6.165
华东理工大学::起源,华东理工大学,华东理工大学,起源,16,东部赛区,东部赛区,23,unseeded,1884,71,8.215
长安大学::VGD,长安大学,长安大学,VGD,17,北部赛区,北部赛区,20,unseeded,1884,72,8.17
