mc_rank,college_name,team_name,seed_tier,seed_rank_in_region,mu0,sigma0,round_of_16_rate,quarterfinal_rate,semifinal_rate,final_rate,champion_rate,runner_up_rate,third_place_rate,national_rate,repechage_rate,repechage_or_better_rate,group_eliminated_rate,qualification_eliminated_rate,average_final_rank
1,中国石油大学（华东）,RPS,tier1,2,1840.848618,58.222099,1.0,0.833333,0.75,0.666667,0.416667,0.25,0.083333,0.833333,0.083333,0.916667,0.0,0.083333,3.666667
2,中国科学技术大学,RoboWalker,tier1,5,1813.014805,57.974234,0.916667,0.833333,0.583333,0.333333,0.166667,0.166667,0.166667,0.833333,0.083333,0.916667,0.083333,0.0,5.75
3,浙江大学,Hello World,tier1,1,1804.339912,57.443998,1.0,0.75,0.5,0.416667,0.333333,0.083333,0.083333,0.75,0.25,1.0,0.0,0.0,4.25
4,华东理工大学,起源,unseeded,23,1717.943342,58.854443,1.0,0.75,0.333333,0.083333,0.0,0.083333,0.25,0.75,0.25,1.0,0.0,0.0,6.666667
5,东南大学,3SE,tier1,4,1703.210391,52.797447,0.916667,0.583333,0.416667,0.0,0.0,0.0,0.083333,0.583333,0.333333,0.916667,0.083333,0.0,7.0
6,南京航空航天大学金城学院,Born of Fire,tier1,7,1680.672586,57.678828,0.833333,0.5,0.333333,0.083333,0.0,0.083333,0.083333,0.5,0.333333,0.833333,0.166667,0.0,9.833333
7,山东科技大学,SmartRobot,tier1,6,1640.039892,55.934596,0.833333,0.5,0.083333,0.0,0.0,0.0,0.0,0.5,0.333333,0.833333,0.166667,0.0,10.416667
8,哈尔滨工业大学（深圳）,南工骁鹰,tier2,10,1683.555272,57.581856,0.833333,0.416667,0.25,0.25,0.0,0.25,0.0,0.416667,0.416667,0.833333,0.166667,0.0,9.416667
9,南京理工大学,Alliance,tier2,14,1646.947069,59.267002,0.833333,0.416667,0.083333,0.0,0.0,0.0,0.083333,0.416667,0.416667,0.833333,0.166667,0.0,10.5
10,南方科技大学,ARTINX,tier1,3,1644.593468,56.369003,0.75,0.333333,0.166667,0.166667,0.083333,0.083333,0.0,0.333333,0.333333,0.666667,0.25,0.083333,12.833333
11,合肥工业大学(宣城校区),WDR,unseeded,19,1602.797042,62.657095,0.5,0.333333,0.083333,0.0,0.0,0.0,0.0,0.333333,0.166667,0.5,0.5,0.0,14.75
12,太原科技大学,NewMaker,unseeded,24,1587.52481,65.096365,0.666667,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.416667,0.666667,0.333333,0.0,14.333333
13,中国矿业大学,CUBOT,tier1,8,1544.566833,55.618058,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.166667,0.416667,0.5,0.083333,18.083333
14,西南交通大学,Helios,unseeded,18,1573.689071,61.882059,0.333333,0.25,0.083333,0.0,0.0,0.0,0.0,0.25,0.083333,0.333333,0.666667,0.0,17.5
15,上海工程技术大学,木鸢Birdiebot,tier2,9,1615.306445,57.803253,0.833333,0.166667,0.083333,0.0,0.0,0.0,0.083333,0.166667,0.666667,0.833333,0.166667,0.0,11.75
16,首都师范大学,PIE,tier2,11,1635.705725,57.066056,0.666667,0.166667,0.0,0.0,0.0,0.0,0.0,0.166667,0.333333,0.5,0.333333,0.166667,13.333333
17,江南大学霞客湾校区,SHARK,unseeded,32,1593.080925,76.110625,0.583333,0.166667,0.166667,0.0,0.0,0.0,0.083333,0.166667,0.333333,0.5,0.416667,0.083333,15.5
18,福建师范大学,PKA,unseeded,25,1534.387883,70.0889,0.25,0.166667,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.166667,0.75,0.083333,19.083333
19,福建理工大学,苍侠,unseeded,21,1474.524609,58.897009,0.25,0.083333,0.0,0.0,0.0,0.0,0.0,0.083333,0.166667,0.25,0.75,0.0,20.583333
20,中国石油大学（北京）,SPR,tier2,12,1498.286224,52.175009,0.25,0.083333,0.083333,0.0,0.0,0.0,0.0,0.083333,0.083333,0.166667,0.75,0.083333,22.166667
21,成都大学,Ultra,unseeded,22,1496.317114,56.130511,0.25,0.083333,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.083333,0.75,0.166667,21.416667
22,中北大学,606,tier2,16,1500.73536,55.610546,0.083333,0.083333,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.083333,0.916667,0.0,25.583333
23,齐鲁工业大学,Adam,tier2,15,1571.092913,56.855631,0.583333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.416667,0.416667,0.416667,0.166667,17.083333
24,合肥工业大学,苍穹,unseeded,17,1530.380711,57.549179,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.166667,0.666667,0.166667,21.666667
25,安徽信息工程学院,Artisans,unseeded,20,1522.119372,57.663638,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.083333,0.75,0.166667,21.583333
26,南京理工大学江阴校区,Combat,unseeded,29,1475.874364,80.740592,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.083333,0.916667,0.0,25.0
27,杭州电子科技大学,PHOENIX,unseeded,30,1461.830456,73.784034,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.916667,0.083333,22.333333
28,上海大学,SRM,unseeded,31,1507.514333,76.457609,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,23.333333
29,北京理工大学珠海学院,毅恒,tier2,13,1521.667459,53.869669,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.916667,0.083333,23.583333
30,广西大学,ROBOTZ,unseeded,28,1383.289623,63.899252,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,25.333333
31,青岛大学,未来,unseeded,26,1408.512261,65.132985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26.083333
32,江苏大学,Aurora,unseeded,27,1395.906705,65.499105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.583333
