mc_rank,college_name,team_name,seed_tier,seed_rank_in_region,mu0,sigma0,round_of_16_rate,quarterfinal_rate,semifinal_rate,final_rate,champion_rate,runner_up_rate,third_place_rate,national_rate,repechage_rate,repechage_or_better_rate,group_eliminated_rate,qualification_eliminated_rate,average_final_rank
1,东北大学,TDT,tier1,1,1841.727381,58.288287,0.9961,0.886433,0.708033,0.5499,0.4318,0.1181,0.132033,0.971133,0.024967,0.9961,0.0039,0.0,3.3828
2,同济大学,SuperPower,tier2,9,1770.054704,58.355708,0.9691,0.747633,0.474567,0.268067,0.13,0.138067,0.135033,0.884167,0.084933,0.9691,0.0309,0.0,5.752967
3,西安交通大学,笃行,tier1,3,1765.989802,57.734922,0.970866,0.737767,0.457967,0.256433,0.118033,0.1384,0.129667,0.8801,0.090767,0.970866,0.029134,0.0,5.8411
4,太原工业学院,火线,tier1,6,1760.514411,57.639872,0.965933,0.7192,0.4355,0.232167,0.104067,0.1281,0.1258,0.865433,0.1005,0.965933,0.034067,0.0,6.122367
5,大连理工大学,凌BUG,tier1,5,1758.243882,55.058265,0.9667,0.721733,0.4341,0.227433,0.099933,0.1275,0.129633,0.864167,0.102533,0.9667,0.0333,0.0,6.1208
6,哈尔滨工业大学（威海）,HERO,tier1,4,1719.486025,58.058487,0.929533,0.592167,0.2934,0.118833,0.0388,0.080033,0.083667,0.7534,0.176133,0.929533,0.070467,0.0,7.8866
7,西安电子科技大学,IRobot,tier2,10,1689.20945,61.677109,0.862,0.476367,0.2008,0.0678,0.017633,0.050167,0.051533,0.629667,0.232333,0.862,0.138,0.0,9.715934
8,哈尔滨工业大学,I Hiter,tier1,2,1683.653083,53.742868,0.870267,0.466467,0.1906,0.063767,0.016233,0.047534,0.0464,0.6139,0.256367,0.870267,0.129733,0.0,9.750933
9,华北科技学院,风暴,tier2,13,1682.366511,58.946023,0.852333,0.455867,0.185033,0.062133,0.015467,0.046667,0.0448,0.598933,0.2534,0.852333,0.147667,0.0,10.065233
10,西北工业大学,WMJ,tier2,11,1675.886743,58.359066,0.8413,0.432833,0.169133,0.0525,0.011567,0.040933,0.041334,0.5756,0.2657,0.8413,0.1587,0.0,10.359033
11,吉林大学,TARS Go,tier1,7,1667.59266,57.965043,0.840433,0.413734,0.151367,0.043967,0.0091,0.034866,0.033666,0.553767,0.286667,0.840433,0.159567,0.0,10.544533
12,北京理工大学,追梦,tier2,12,1643.902149,61.369225,0.753767,0.319233,0.101733,0.025333,0.004133,0.0212,0.019567,0.432,0.321767,0.753767,0.246233,0.0,12.345833
13,哈尔滨工程大学,创梦之翼,tier1,8,1625.831108,56.890235,0.727867,0.2683,0.0757,0.015467,0.002167,0.0133,0.0145,0.368833,0.359033,0.727867,0.272133,0.0,13.050633
14,天津大学,北洋机甲,tier2,15,1609.163625,54.596766,0.6465,0.2098,0.054067,0.0101,0.0008,0.0093,0.008,0.287467,0.359033,0.6465,0.3535,0.0,14.5327
15,北方工业大学,DreamTeam,tier2,14,1556.421943,54.131006,0.45,0.0949,0.0161,0.001933,0.000133,0.0018,0.0014,0.127167,0.322833,0.45,0.55,0.0,18.044267
16,复旦大学,星云EGA,unseeded,32,1534.814073,76.894632,0.339533,0.0628,0.009033,0.001067,3.3e-05,0.001033,0.000733,0.083767,0.255767,0.339533,0.660467,0.0,19.774467
17,东北大学秦皇岛分校,征龙凌沧,unseeded,19,1535.233265,57.531894,0.337067,0.060867,0.0087,0.000733,3.3e-05,0.0007,0.0007,0.079633,0.257433,0.337067,0.662933,0.0,19.865033
18,四川大学,火锅,tier2,16,1519.130075,50.849304,0.312067,0.046467,0.0052,0.000467,0.0,0.000467,0.000334,0.0619,0.250167,0.312067,0.687933,0.0,20.3661
