mc_rank,college_name,team_name,seed_tier,seed_rank_in_region,mu0,sigma0,round_of_16_rate,quarterfinal_rate,semifinal_rate,final_rate,champion_rate,runner_up_rate,third_place_rate,national_rate,repechage_rate,repechage_or_better_rate,group_eliminated_rate,qualification_eliminated_rate,average_final_rank
1,上海交通大学,交龙,tier1,1,1828.90721,54.406541,0.99282,0.8641,0.67726,0.50894,0.38671,0.12223,0.13857,0.95957,0.03188,0.99145,0.00718,0.00137,3.69963
2,华南农业大学,Taurus,tier1,3,1768.327648,57.382054,0.96842,0.73432,0.46888,0.27038,0.1364,0.13398,0.13153,0.87346,0.08791,0.96137,0.03158,0.00705,5.81152
3,华南理工大学,华南虎,tier1,2,1764.309501,52.767153,0.96547,0.72225,0.45302,0.2548,0.12418,0.13062,0.12938,0.86465,0.09386,0.95851,0.03453,0.00696,5.98378
4,武汉工程大学,Nautilus,tier2,12,1762.958611,58.488341,0.956,0.72159,0.45123,0.25132,0.12264,0.12868,0.12945,0.85849,0.09027,0.94876,0.044,0.00724,6.11834
5,广东工业大学,DynamicX,tier1,4,1753.246501,57.75235,0.95617,0.69217,0.41509,0.22066,0.0998,0.12086,0.11983,0.83977,0.10706,0.94683,0.04383,0.00934,6.42402
6,太原理工大学,TRoMaC,tier1,6,1733.225037,59.27261,0.93701,0.62753,0.34238,0.16217,0.06413,0.09804,0.09877,0.7821,0.13979,0.92189,0.06299,0.01512,7.34811
7,五邑大学,IMCA,tier1,7,1681.477895,57.886687,0.84769,0.44078,0.18219,0.06212,0.0162,0.04592,0.04454,0.58076,0.2243,0.80506,0.15231,0.04263,10.13173
8,深圳大学,RobotPilots,tier1,5,1675.310913,54.120576,0.83475,0.41824,0.16903,0.05452,0.01284,0.04168,0.04179,0.55465,0.23402,0.78867,0.16525,0.04608,10.46522
9,电子科技大学中山学院,RoboBraver,tier1,8,1662.261827,54.328522,0.80028,0.37231,0.14019,0.04149,0.00864,0.03285,0.03173,0.49613,0.24714,0.74327,0.19972,0.05701,11.25289
10,中南大学,FYT,tier2,10,1658.096408,58.257035,0.76906,0.35164,0.12716,0.03661,0.00717,0.02944,0.02831,0.46928,0.24093,0.71021,0.23094,0.05885,11.80433
11,桂林电子科技大学,Evolution,tier2,11,1648.352679,59.293121,0.74019,0.3203,0.10957,0.03024,0.00551,0.02473,0.02348,0.42975,0.2447,0.67445,0.25981,0.06574,12.40535
12,南昌大学,Passion,tier2,9,1647.376839,54.269952,0.73986,0.31563,0.10768,0.02943,0.00506,0.02437,0.02236,0.42282,0.24931,0.67213,0.26014,0.06773,12.4458
13,华中科技大学,狼牙,tier2,13,1643.318023,58.61098,0.72572,0.30395,0.10065,0.02669,0.00438,0.02231,0.02053,0.4065,0.24797,0.65447,0.27428,0.07125,12.72022
14,东莞理工学院,ACE,unseeded,18,1635.22273,65.320213,0.67732,0.27359,0.08569,0.02115,0.00327,0.01788,0.01669,0.36216,0.23871,0.60087,0.32268,0.07645,13.50843
15,广州城市理工学院,野狼,tier2,16,1628.68791,62.649921,0.67883,0.25697,0.07671,0.01795,0.00249,0.01546,0.01399,0.34498,0.24877,0.59375,0.32117,0.08508,13.64296
16,国防科技大学,军临,tier2,15,1578.644821,58.139564,0.49496,0.12575,0.02607,0.00403,0.0003,0.00373,0.00306,0.16623,0.20752,0.37375,0.50504,0.12121,17.02735
