season,event_code,league,zone_id,zone_name,group_name,group_order,college_name,college_logo,team_name,w_d_l,points,opponent_points,avg_base_hp_diff,avg_outpost_hp_diff,avg_team_damage,metrics_json,rank
2024,2024RMUC,RMUC,498,东部赛区,A组,1,浙江大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1532425365935-logo_blue_800x800.png,Hello World,3/0/0,3,3,2095,0,5416,"{""对手分"": 3, ""局均全队总伤害血量"": 5416, ""局均总前哨站净胜血量"": 0, ""局均总基地净胜血量"": 2095, ""积分"": 3, ""胜/平/负"": ""3/0/0""}",
2024,2024RMUC,RMUC,498,东部赛区,A组,2,太原理工大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/bcceed5a-13b9-4a19-8236-56b2bb40b58b,TRoMaC,3/0/0,3,-2,856,59,4159,"{""对手分"": -2, ""局均全队总伤害血量"": 4159, ""局均总前哨站净胜血量"": 59, ""局均总基地净胜血量"": 856, ""积分"": 3, ""胜/平/负"": ""3/0/0""}",
2024,2024RMUC,RMUC,498,东部赛区,A组,3,首都师范大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/a061e111-f402-4e01-884e-0b5c95f7ab5e,PIE,2/0/1,2,7,375,-20,3941,"{""对手分"": 7, ""局均全队总伤害血量"": 3941, ""局均总前哨站净胜血量"": -20, ""局均总基地净胜血量"": 375, ""积分"": 2, ""胜/平/负"": ""2/0/1""}",
2024,2024RMUC,RMUC,498,东部赛区,A组,4,南京航空航天大学金城学院,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/37ffc1d5-bfaa-472a-8584-2158ca7aa8d5,Born of Fire,2/0/1,2,5,160,204,4041,"{""对手分"": 5, ""局均全队总伤害血量"": 4041, ""局均总前哨站净胜血量"": 204, ""局均总基地净胜血量"": 160, ""积分"": 2, ""胜/平/负"": ""2/0/1""}",
2024,2024RMUC,RMUC,498,东部赛区,A组,5,天津大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525667950468-logo_blue_800x800.png,北洋机甲,2/0/1,2,2,1236,149,5070,"{""对手分"": 2, ""局均全队总伤害血量"": 5070, ""局均总前哨站净胜血量"": 149, ""局均总基地净胜血量"": 1236, ""积分"": 2, ""胜/平/负"": ""2/0/1""}",
2024,2024RMUC,RMUC,498,东部赛区,A组,6,上海工程技术大学,https://rm-static.djicdn.com/games-backend/42a2f807-035c-49bc-9e1d-782239209b82,木鸢Birdiebot,2/0/1,2,-1,544,213,4770,"{""对手分"": -1, ""局均全队总伤害血量"": 4770, ""局均总前哨站净胜血量"": 213, ""局均总基地净胜血量"": 544, ""积分"": 2, ""胜/平/负"": ""2/0/1""}",
2024,2024RMUC,RMUC,498,东部赛区,A组,7,齐鲁工业大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/4c4f28ef-93a7-4df1-ada4-5c0ad826f07d,Adam,2/0/1,2,-4,-557,-179,2983,"{""对手分"": -4, ""局均全队总伤害血量"": 2983, ""局均总前哨站净胜血量"": -179, ""局均总基地净胜血量"": -557, ""积分"": 2, ""胜/平/负"": ""2/0/1""}",
2024,2024RMUC,RMUC,498,东部赛区,A组,8,西交利物浦大学&利物浦大学,https://rm-static.djicdn.com/games-backend/74abd7b1-ddfa-4939-a552-cdfff066afb8,GMaster,2/0/1,2,-5,1329,2,4367,"{""对手分"": -5, ""局均全队总伤害血量"": 4367, ""局均总前哨站净胜血量"": 2, ""局均总基地净胜血量"": 1329, ""积分"": 2, ""胜/平/负"": ""2/0/1""}",
2024,2024RMUC,RMUC,498,东部赛区,A组,9,同济大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525665507590-logo_blue_800x800.png,SuperPower,1/0/2,1,3,-907,83,2960,"{""对手分"": 3, ""局均全队总伤害血量"": 2960, ""局均总前哨站净胜血量"": 83, ""局均总基地净胜血量"": -907, ""积分"": 1, ""胜/平/负"": ""1/0/2""}",
2024,2024RMUC,RMUC,498,东部赛区,A组,10,辽宁科技大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525667029196-logo_blue_800x800.png,COD,1/0/2,1,0,-367,0,2971,"{""对手分"": 0, ""局均全队总伤害血量"": 2971, ""局均总前哨站净胜血量"": 0, ""局均总基地净胜血量"": -367, ""积分"": 1, ""胜/平/负"": ""1/0/2""}",
2024,2024RMUC,RMUC,498,东部赛区,A组,11,山东理工大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/cd7bb6a9-f1cf-4f8d-9275-0f919de56a07,齐奇,1/0/2,1,0,-397,355,3178,"{""对手分"": 0, ""局均全队总伤害血量"": 3178, ""局均总前哨站净胜血量"": 355, ""局均总基地净胜血量"": -397, ""积分"": 1, ""胜/平/负"": ""1/0/2""}",
2024,2024RMUC,RMUC,498,东部赛区,A组,12,上海科技大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/2b477b2a-e4af-4632-9716-362ce888bc6c,Magician,1/0/2,1,-2,-1226,-112,2423,"{""对手分"": -2, ""局均全队总伤害血量"": 2423, ""局均总前哨站净胜血量"": -112, ""局均总基地净胜血量"": -1226, ""积分"": 1, ""胜/平/负"": ""1/0/2""}",
2024,2024RMUC,RMUC,498,东部赛区,A组,13,华北理工大学,https://rm-static.djicdn.com/games-backend/db3b1cbb-32c6-4d09-82ea-7de69d71fcb4,Horizon,0/0/2,0,8,-1046,-89,2497,"{""对手分"": 8, ""局均全队总伤害血量"": 2497, ""局均总前哨站净胜血量"": -89, ""局均总基地净胜血量"": -1046, ""积分"": 0, ""胜/平/负"": ""0/0/2""}",
2024,2024RMUC,RMUC,498,东部赛区,A组,14,东北大学秦皇岛分校,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/84e03632-7d92-498b-9150-24d51a28a8d4,征龙凌沧,0/0/2,0,2,-801,-517,2076,"{""对手分"": 2, ""局均全队总伤害血量"": 2076, ""局均总前哨站净胜血量"": -517, ""局均总基地净胜血量"": -801, ""积分"": 0, ""胜/平/负"": ""0/0/2""}",
2024,2024RMUC,RMUC,498,东部赛区,A组,15,中国石油大学（北京）,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/536194b1-d052-480f-b5b9-fbd2ef9d6dc8,SPR,0/0/2,0,0,-847,0,2621,"{""对手分"": 0, ""局均全队总伤害血量"": 2621, ""局均总前哨站净胜血量"": 0, ""局均总基地净胜血量"": -847, ""积分"": 0, ""胜/平/负"": ""0/0/2""}",
