season,event_code,league,zone_id,zone_name,group_name,group_order,college_name,college_logo,team_name,w_d_l,wins,opponent_points,avg_base_hp_diff,avg_outpost_hp_diff,avg_team_damage,metrics_json
2026,2026RMUC,RMUC,660,南部赛区,A组,1,武汉科技大学,https://hz-rm-bbs-web-prod.oss-cn-hangzhou.aliyuncs.com/884b768f5be84ed1aca7b8aeeeed61a71761836966818/1 标准标志.png,崇实,2/0/0,2,1,0,0,0,"{""胜/平/负"": ""2/0/0"", ""胜场数"": 2, ""对手分"": 1, ""局分净胜"": 4}"
2026,2026RMUC,RMUC,660,南部赛区,A组,2,太原理工大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/bcceed5a-13b9-4a19-8236-56b2bb40b58b,TRoMaC,2/0/0,2,1,0,0,0,"{""胜/平/负"": ""2/0/0"", ""胜场数"": 2, ""对手分"": 1, ""局分净胜"": 3}"
2026,2026RMUC,RMUC,660,南部赛区,A组,3,南华大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/3a47924a-603f-4784-a891-9d35a89b2f72,MA,2/0/0,2,1,0,0,0,"{""胜/平/负"": ""2/0/0"", ""胜场数"": 2, ""对手分"": 1, ""局分净胜"": 3}"
2026,2026RMUC,RMUC,660,南部赛区,A组,4,华中科技大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525675209294-logo_blue_800x800.png,狼牙,2/0/0,2,1,0,0,0,"{""胜/平/负"": ""2/0/0"", ""胜场数"": 2, ""对手分"": 1, ""局分净胜"": 2}"
2026,2026RMUC,RMUC,660,南部赛区,A组,5,深圳大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525667668942-logo_red_800x800.png,RobotPilots,1/0/1,1,3,0,0,0,"{""胜/平/负"": ""1/0/1"", ""胜场数"": 1, ""对手分"": 3, ""局分净胜"": 1}"
2026,2026RMUC,RMUC,660,南部赛区,A组,6,中南大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525676967503-logo_blue_800x800.png,FYT,1/0/1,1,3,0,0,0,"{""胜/平/负"": ""1/0/1"", ""胜场数"": 1, ""对手分"": 3, ""局分净胜"": 0}"
2026,2026RMUC,RMUC,660,南部赛区,A组,7,仲恺农业工程学院,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525667218422-logo_green_800x800.png,奇点,1/0/1,1,3,0,0,0,"{""胜/平/负"": ""1/0/1"", ""胜场数"": 1, ""对手分"": 3, ""局分净胜"": 0}"
2026,2026RMUC,RMUC,660,南部赛区,A组,8,上海交通大学,https://hz-rm-bbs-web-prod.oss-cn-hangzhou.aliyuncs.com/60fb7f8b8fed42bebc4af6ba742c217c1761746244661/bf828c7a-f2a9-43fc-ac10-9cdf8eba3226.png,交龙,1/0/1,1,1,0,0,0,"{""胜/平/负"": ""1/0/1"", ""胜场数"": 1, ""对手分"": 1, ""局分净胜"": 0}"
2026,2026RMUC,RMUC,660,南部赛区,A组,9,厦门大学嘉庚学院,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/74fa4796-2b58-4d72-8b60-2150168b72fe,TCR,1/0/1,1,1,0,0,0,"{""胜/平/负"": ""1/0/1"", ""胜场数"": 1, ""对手分"": 1, ""局分净胜"": 0}"
2026,2026RMUC,RMUC,660,南部赛区,A组,10,桂林理工大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525675274637-logo_blue_800x800.png,群星,1/0/1,1,1,0,0,0,"{""胜/平/负"": ""1/0/1"", ""胜场数"": 1, ""对手分"": 1, ""局分净胜"": 0}"
2026,2026RMUC,RMUC,660,南部赛区,A组,11,长沙理工大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/956efdbf-ed6c-4af2-ab13-6099e522ada6,云嵌,1/0/1,1,3,0,0,0,"{""胜/平/负"": ""1/0/1"", ""胜场数"": 1, ""对手分"": 3, ""局分净胜"": -1}"
2026,2026RMUC,RMUC,660,南部赛区,A组,12,广州城市理工学院,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/9365936c-3c07-449d-8e0e-2ed9e050e0f3,野狼,1/0/1,1,1,0,0,0,"{""胜/平/负"": ""1/0/1"", ""胜场数"": 1, ""对手分"": 1, ""局分净胜"": -1}"
2026,2026RMUC,RMUC,660,南部赛区,A组,13,广东工业大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/257785f9-4ac3-4369-8e60-49ffe0b141e8,DynamicX,0/0/2,0,3,0,0,0,"{""胜/平/负"": ""0/0/2"", ""胜场数"": 0, ""对手分"": 3, ""局分净胜"": -2}"
2026,2026RMUC,RMUC,660,南部赛区,A组,14,武汉工程大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/a413c7fa-e03f-4b01-922a-fc05d46aba6f,Nautilus,0/0/2,0,3,0,0,0,"{""胜/平/负"": ""0/0/2"", ""胜场数"": 0, ""对手分"": 3, ""局分净胜"": -2}"
2026,2026RMUC,RMUC,660,南部赛区,A组,15,西交利物浦大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525680126695-logo_black_800x800.png,GMaster,0/0/2,0,3,0,0,0,"{""胜/平/负"": ""0/0/2"", ""胜场数"": 0, ""对手分"": 3, ""局分净胜"": -3}"
2026,2026RMUC,RMUC,660,南部赛区,A组,16,华南师范大学（佛山校区）,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/da385649-5afe-4072-af0c-076884bdfd0a,VANGUARD,0/0/2,0,3,0,0,0,"{""胜/平/负"": ""0/0/2"", ""胜场数"": 0, ""对手分"": 3, ""局分净胜"": -4}"
2026,2026RMUC,RMUC,660,南部赛区,B组,1,湘潭大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/6ee9d64c-9844-47d0-bfa7-4e428fc6d025,逐曦,2/0/0,2,2,0,0,0,"{""胜/平/负"": ""2/0/0"", ""胜场数"": 2, ""对手分"": 2, ""局分净胜"": 4}"
2026,2026RMUC,RMUC,660,南部赛区,B组,2,国防科技大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/b25088a6-06fd-41a3-883f-bfbf29e7383f,军临,2/0/0,2,1,0,0,0,"{""胜/平/负"": ""2/0/0"", ""胜场数"": 2, ""对手分"": 1, ""局分净胜"": 3}"
2026,2026RMUC,RMUC,660,南部赛区,B组,3,东莞理工学院,https://rm-static.djicdn.com/games-backend/ef8c032e-9c30-467d-afc0-81ee5475cfe3,ACE,2/0/0,2,1,0,0,0,"{""胜/平/负"": ""2/0/0"", ""胜场数"": 2, ""对手分"": 1, ""局分净胜"": 3}"
2026,2026RMUC,RMUC,660,南部赛区,B组,4,厦门大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/04926f4b-2f6d-4691-b45d-502cc1e11f34,RCS,2/0/0,2,1,0,0,0,"{""胜/平/负"": ""2/0/0"", ""胜场数"": 2, ""对手分"": 1, ""局分净胜"": 2}"
2026,2026RMUC,RMUC,660,南部赛区,B组,5,南昌大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525699199414-logo_blue_800x800.png,Passion,1/0/1,1,2,0,0,0,"{""胜/平/负"": ""1/0/1"", ""胜场数"": 1, ""对手分"": 2, ""局分净胜"": 1}"
2026,2026RMUC,RMUC,660,南部赛区,B组,6,华南农业大学,https://hz-rm-bbs-web-prod.oss-cn-hangzhou.aliyuncs.com/c8db6f26e28841fba220adc7710b07871762017323697/img_v3_02rk_5db0ce6e-139d-4242-ac48-5a2a0e25056g.png,Taurus,1/0/1,1,1,0,0,0,"{""胜/平/负"": ""1/0/1"", ""胜场数"": 1, ""对手分"": 1, ""局分净胜"": 1}"
2026,2026RMUC,RMUC,660,南部赛区,B组,7,武汉大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/4e720dc7-05b2-45d8-be42-f91ce2fd40ed,珞珈狐,1/0/1,1,1,0,0,0,"{""胜/平/负"": ""1/0/1"", ""胜场数"": 1, ""对手分"": 1, ""局分净胜"": 1}"
2026,2026RMUC,RMUC,660,南部赛区,B组,8,桂林电子科技大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525673879563-logo_blue_800x800.png,Evolution,1/0/1,1,3,0,0,0,"{""胜/平/负"": ""1/0/1"", ""胜场数"": 1, ""对手分"": 3, ""局分净胜"": 0}"
2026,2026RMUC,RMUC,660,南部赛区,B组,9,深圳技术大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/d6d0f220-ef43-4e8b-9805-bf5d2e516b06,悍匠,1/0/1,1,3,0,0,0,"{""胜/平/负"": ""1/0/1"", ""胜场数"": 1, ""对手分"": 3, ""局分净胜"": 0}"
