college_name,team_name_2026,preferred_region,admitted_region,seed_rank_in_region,seed_tier,ranking_source,ranking_global_rank,ranking_score
上海交通大学,交龙,南部赛区,南部赛区,1,tier1,1884,1,25.0
华南理工大学,华南虎,南部赛区,南部赛区,2,tier1,1884,2,23.3
华南农业大学,Taurus,南部赛区,南部赛区,3,tier1,1884,5,20.1
广东工业大学,DynamicX,南部赛区,南部赛区,4,tier1,1884,6,20.0
深圳大学,RobotPilots,南部赛区,南部赛区,5,tier1,1884,6,20.0
太原理工大学,TRoMaC,南部赛区,南部赛区,6,tier1,1884,13,18.04
五邑大学,IMCA,南部赛区,南部赛区,7,tier1,1884,17,17.0
电子科技大学中山学院,RoboBraver,南部赛区,南部赛区,8,tier1,1884,20,16.64
南昌大学,Passion,东部赛区,南部赛区,9,tier2,1884,21,15.7
中南大学,FYT,南部赛区,南部赛区,10,tier2,1884,22,15.5
桂林电子科技大学,Evolution,南部赛区,南部赛区,11,tier2,1884,28,14.365
武汉工程大学,Nautilus,东部赛区,南部赛区,12,tier2,1884,29,14.3
华中科技大学,狼牙,东部赛区,南部赛区,13,tier2,1884,33,13.34
桂林信息科技学院,GIRT,南部赛区,南部赛区,14,tier2,1884,34,12.975
国防科技大学,军临,南部赛区,南部赛区,15,tier2,1884,49,10.56
广州城市理工学院,野狼,南部赛区,南部赛区,16,tier2,1884,52,9.465
厦门大学嘉庚学院,TCR,南部赛区,南部赛区,17,unseeded,1884,56,9.235
东莞理工学院,ACE,南部赛区,南部赛区,18,unseeded,1884,61,8.61
桂林理工大学,群星,南部赛区,南部赛区,19,unseeded,1884,69,8.25
南华大学,MA,南部赛区,南部赛区,20,unseeded,1884,77,7.9
深圳技术大学,悍匠,南部赛区,南部赛区,21,unseeded,1884,79,7.85
湘潭大学,逐曦,南部赛区,南部赛区,22,unseeded,1884,92,6.85
西交利物浦大学,GMaster,南部赛区,南部赛区,23,unseeded,1884,96,6.28
仲恺农业工程学院,奇点,南部赛区,南部赛区,24,unseeded,1884,100,6.165
长沙理工大学,云嵌,南部赛区,南部赛区,25,unseeded,1884,105,5.975
重庆理工大学,士继DREAMER,北部赛区,南部赛区,26,unseeded,1884,128,5.25
广州航海学院,ICBK破冰船,南部赛区,南部赛区,27,unseeded,1884,152,4.65
武汉科技大学,崇实,东部赛区,南部赛区,28,unseeded,1884,152,4.65
华南师范大学（佛山校区）,VANGUARD,南部赛区,南部赛区,29,unseeded,1884,182,4.175
武汉大学,珞珈狐,南部赛区,南部赛区,30,unseeded,1884,185,4.13
厦门理工学院,PFA,南部赛区,南部赛区,31,unseeded,1884,190,4.0
厦门大学,RCS,南部赛区,南部赛区,32,unseeded,1884,193,3.9
浙江大学,Hello World,东部赛区,东部赛区,1,tier1,1884,4,21.1
中国石油大学（华东）,RPS,东部赛区,东部赛区,2,tier1,1884,11,18.72
南方科技大学,ARTINX,东部赛区,东部赛区,3,tier1,1884,12,18.4
东南大学,3SE,东部赛区,东部赛区,4,tier1,1884,14,17.94
中国科学技术大学,RoboWalker,东部赛区,东部赛区,5,tier1,1884,19,16.86
