rank,college_name,english_name,score
1,上海交通大学,Shanghai Jiao Tong University,25.0
2,华南理工大学,South China University of Technology,23.3
3,东北大学,Northeastern University,22.7
4,浙江大学,Zhejiang University,21.1
5,华南农业大学,South China Agricultural University,20.1
6,广东工业大学,Guangdong University of Technology,20.0
6,深圳大学,Shenzhen University,20.0
8,南京航空航天大学,Nanjing University of Aeronautics and Astronautics,19.7
9,哈尔滨工业大学,Harbin Institute of Technology,19.3
10,西安交通大学,Xi'an Jiaotong University,18.8
11,中国石油大学（华东）,China University of Petroleum (East China),18.72
12,南方科技大学,Southern University of Science and Technology,18.4
13,太原理工大学,Taiyuan University of Technology,18.04
14,东南大学,Southeast University,17.94
15,哈尔滨工业大学（威海）,Harbin Institute of Technology (Weihai),17.2
16,大连理工大学,Dalian University of Technology,17.18
17,太原工业学院,Taiyuan Institute of Technology,17.0
17,五邑大学,Wuyi University,17.0
19,中国科学技术大学,University of Science and Technology of China,16.86
20,电子科技大学中山学院,"University of Electronic Science and Technology of China, Zhongshan Institute",16.64
21,南昌大学,Nanchang University,15.7
22,中南大学,Central South University,15.5
23,吉林大学,Jilin University,14.9
24,山东科技大学,Shandong University of Science and Technology,14.8
25,哈尔滨工程大学,Harbin Engineering University,14.78
26,南京航空航天大学金城学院,Nanhang Jincheng College,14.6
27,同济大学,Tongji University,14.4
28,桂林电子科技大学,Guilin University of Electronic Technology,14.365
29,武汉工程大学,Wuhan Institute of Technology,14.3
30,中国矿业大学,China University of Mining and Technology,13.6
31,上海工程技术大学,Shanghai University of Engineering Science,13.565
32,哈尔滨工业大学（深圳）,Harbin Institute of Technology (Shenzhen),13.535
33,华中科技大学,Huazhong University of Science and Technology,13.34
34,桂林信息科技学院,Guilin Institute of Information Technology,12.975
35,西安电子科技大学,Xidian University,12.965
36,西北工业大学,Northwestern Polytechnical University,12.5
37,佛山大学,Foshan University,12.32
38,首都师范大学,Capital Normal University,12.235
39,中国石油大学（北京）,China University of Petroleum (Beijing),12.17
40,北京理工大学珠海学院,"Beijing Institute of Technology, Zhuhai",12.055
41,东北林业大学,Northeast Forestry University,11.535
42,南京理工大学,Nanjing University of Science and Technology,11.415
43,北京理工大学,Beijing Institute of Technology,11.3
44,华北科技学院,North China Institute of Science and Technology,11.28
45,北方工业大学,North China University of Technology,11.0
46,天津大学,Tianjin University,10.86
47,北京科技大学,University of Science and Technology Beijing,10.785
48,齐鲁工业大学,Qilu University of Technology,10.615
49,国防科技大学,National University of Defense Technology,10.56
50,四川大学,Sichuan University,9.85
51,沈阳理工大学,Shenyang Ligong University,9.505
52,广州城市理工学院,Guangzhou City University of Technology,9.465
53,西南石油大学,Southwest Petroleum University,9.335
54,辽宁科技大学,University of Science and Technology Liaoning,9.305
55,香港科技大学,Hong Kong University of Science and Technology,9.25
56,厦门大学嘉庚学院,Jiageng College of Xiamen University,9.235
57,合肥工业大学,Hefei University of Technology,8.665
57,西南交通大学,Southwest Jiaotong University,8.665
57,中北大学,North University of China,8.665
60,重庆大学,Chongqing University,8.65
61,东莞理工学院,Dongguan University of Technology,8.61
62,浙江纺织服装职业技术学院,Zhejiang Textile and Clothing Vocational and Technical College,8.565
63,东北大学秦皇岛分校,Northeastern University at Qinhuangdao,8.515
63,燕山大学,Yanshan University,8.515
65,安徽信息工程学院,Anhui Institute of Information Engineering,8.415
65,福建理工大学,Fujian University of Technology,8.415
65,合肥工业大学(宣城校区),Hefei University Of Technology Xuancheng Campus,8.415
68,成都大学,Chengdu University,8.265
69,桂林理工大学,Guilin University of Technology,8.25
70,深圳职业技术大学,Shenzhen Polytechnic University,8.23
71,华东理工大学,East China University of Science and Technology,8.215
72,长安大学,Changan University,8.17
73,沈阳航空航天大学,Shenyang Aerospace University,8.13
74,北京信息科技大学,Beijing Information Science and Technology University,8.07
75,湖南大学,Hunan University,8.0
75,太原科技大学,Taiyuan University of Science and Technology,8.0
77,南华大学,Nanhua University,7.9
77,山东理工大学,Shandong University of Technology,7.9
79,河北科技大学,Hebei University of Science and Technology,7.85
79,深圳技术大学,Shenzhen University of Technology,7.85
79,新潟联合大学,Niigata Universities Alliance,7.85
82,成都信息工程大学,Chengdu University of Information Technology,7.775
83,上海科技大学,ShanghaiTech University,7.65
84,华北理工大学,North China University of Science and Technology,7.6
85,福建师范大学,Fujian Normal University,7.375
86,河北工业大学,Hebei University of Technology,7.35
87,西安理工大学,Xi'an University of Technology,7.334
88,香港大学,The University of Hong Kong,7.275
89,成都工业学院,Chengdu Institute of Technology,7.175
90,青岛大学,Qingdao University,7.1
91,北京工业大学,Beijing University Of Technology,6.9
92,湘潭大学,Xiangtan University,6.85
93,桂林电子科技大学北海校区,Guilin University of Electronic Technology Beihai Campus,6.459
94,青岛理工大学,Qingdao Technological University,6.375
95,茅台学院,Moutai College,6.348
96,西交利物浦大学,Xi'an Jiaotong-Liverpool University,6.28
97,火箭军工程大学,Rocket Force University of Engineering,6.268
98,浙江理工大学,Zhejiang Sci-Tech University,6.25
99,常州大学,Changzhou University,6.225
100,仲恺农业工程学院,Zhongkai University of Agriculture Engineering,6.165
101,西南民族大学,Southwest University for Nationalities,6.098
102,东华大学,Donghua University,6.0
102,浙江师范大学,Zhejiang Normal University,6.0
102,中国民航大学,Civil Aviation University of China,6.0
105,长沙理工大学,Changsha University of Science and Technology,5.975
106,湖北工业大学,Hubei University of Technology,5.905
107,防灾科技学院,School of Disaster Prevention Technology,5.9
108,福建农林大学,Fujian Agriculture and Forestry University,5.85
109,陆军勤务学院,"Engineering University of the Joint Logistics Support Force, PLA",5.825
