RMUC 2026区域赛（东部赛区）赛程总览,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晋级名额,,2026/5/20,,,,2026/5/21,,,,2026/5/22,,,,2026/5/23,,,,2026/5/24,,,,,,2026/5/25,,,,,
全国赛8,复活赛6,适应性训练,,,,比赛日1,,,,比赛日2,,,,比赛日3,,,,比赛日4,,,,,,比赛日5,,,,,
组别,编号,场次,红方,蓝方,时间,场次,红方,蓝方,时间,场次,红方,蓝方,时间,场次,红方,蓝方,时间,场次,红方,蓝方,胜者,败者,时间,场次,红方,蓝方,胜者,败者,时间
"A
（16-8）",A1,上午检录,,,08:00开始,上午检录,,,07:30开始,上午检录,,,07:30开始,上午检录,,,07:30开始,上午检录,,,,,07:30开始,上午检录,,,,,07:30开始
,A2,适应性训练,,,,A组瑞士轮第一轮（BO3）,,,,A组瑞士轮第二轮（BO3）,,,,B组瑞士轮第三轮（BO3）,,,,A组瑞士轮第五轮（BO3）,,,,,,复活赛名额争夺战（BO3),,,,,
,A3,1,预检录队伍1,预检录队伍2,09:00-09:40,1,Ⅰ-A1,Ⅰ-A9,08:30-09:05,21,Ⅱ-A9,Ⅱ-A10,08:30-09:05,41,Ⅲ-B2,Ⅲ-B1,08:30-09:05,61,Ⅴ-A6,Ⅴ-A11,,,08:30-09:05,79,败者①,败者②,复活赛,败者1,08:30-09:05
,A4,2,预检录队伍3,预检录队伍4,09:40-10:20,2,Ⅰ-A2,Ⅰ-A10,09:05-09:40,22,Ⅱ-A11,Ⅱ-A12,09:05-09:40,42,Ⅲ-B4,Ⅲ-B3,09:05-09:40,62,Ⅴ-A10,Ⅴ-A7,,,09:05-09:40,80,败者④,败者③,复活赛,败者2,09:05-09:40
,A5,3,预检录队伍5,预检录队伍6,10:20-11:00,3,Ⅰ-A11,Ⅰ-A3,09:40-10:15,23,Ⅱ-A14,Ⅱ-A13,09:40-10:15,43,Ⅲ-B5,Ⅲ-B6,09:40-10:15,63,Ⅴ-A8,Ⅴ-A9,,,09:40-10:15,81,败者⑤,败者⑥,复活赛,败者3,09:40-10:15
,A6,4,预检录队伍7,预检录队伍8,11:00-11:40,4,Ⅰ-A12,Ⅰ-A4,10:15-10:50,24,Ⅱ-A16,Ⅱ-A15,10:15-10:50,44,Ⅲ-B7,Ⅲ-B8,10:15-10:50,B组瑞士轮第五轮（BO3）,,,,,,82,败者⑧,败者⑦,复活赛,败者4,10:15-10:50
,A7,5,预检录队伍9,预检录队伍10,11:40-12:20,5,Ⅰ-A5,Ⅰ-A13,10:50-11:25,B组瑞士轮第二轮（BO3）,,,,45,Ⅲ-B10,Ⅲ-B9,10:50-11:25,64,Ⅴ-B11,Ⅴ-B6,,,10:15-10:50,半决赛（BO3）,,,,,
,A8,休息,,,12:20-13:40,6,Ⅰ-A6,Ⅰ-A14,11:25-12:00,25,Ⅱ-B2,Ⅱ-B1,10:50-11:25,46,Ⅲ-B12,Ⅲ-B11,11:25-12:00,65,Ⅴ-B7,Ⅴ-B10,,,10:50-11:25,83,胜者一,胜者三,决赛1,半决赛1,10:50-11:25
,A9,下午检录,,,12:40开始,休息,,,12:00-13:00,26,Ⅱ-B4,Ⅱ-B3,11:25-12:00,休息,,,12:00-13:00,66,Ⅴ-B9,Ⅴ-B8,,,11:25-12:00,84,胜者二,胜者四,决赛2,半决赛2,11:25-12:00
,A10,6,预检录队伍11,预检录队伍12,13:40-14:20,下午检录,,,12:00开始,休息,,,12:00-13:00,下午检录,,,12:00开始,休息,,,,,12:00-14:10,休息,,,,,12:00-13:00
,A11,7,预检录队伍13,预检录队伍14,14:20-15:00,7,Ⅰ-A15,Ⅰ-A7,13:00-13:35,下午检录,,,12:00开始,47,Ⅲ-B13,Ⅲ-B14,13:00-13:35,下午检录,,,,,13:10开始,下午检录,,,,,12:00开始
,A12,8,预检录队伍15,预检录队伍16,15:00-15:40,8,Ⅰ-A16,Ⅰ-A8,13:35-14:10,27,Ⅱ-B5,Ⅱ-B6,13:00-13:35,48,Ⅲ-B15,Ⅲ-B16,13:35-14:10,16进8淘汰赛（BO3）,,,,,,复活赛名额争夺战（BO3),,,,,
,A13,9,预检录队伍17,预检录队伍18,15:40-16:20,B组瑞士轮第一轮（BO3）,,,,28,Ⅱ-B7,Ⅱ-B8,13:35-14:10,A组瑞士轮第四轮（BO3）,,,,67,B-1,A-8,胜者①,败者①,14:10-14:45,85,败者1,败者3,复活赛,淘汰,13:00-13:35
,A14,10,预检录队伍19,预检录队伍20,16:20-17:00,9,Ⅰ-B9,Ⅰ-B1,14:10-14:45,29,Ⅱ-B10,Ⅱ-B9,14:10-14:45,49,Ⅳ-A3,Ⅳ-A4,14:10-14:45,68,B-5,A-4,胜者②,败者②,14:45-15:20,86,败者2,败者4,复活赛,淘汰,13:35-14:10
